voting_date,rank_num,ranking,day_increase_decrease,new_entry,code,title,released_date,day_sales,day_sales_ratio,day_sales_increase_decrease,day_sales_increase_decrease_ratio,total_sales,day_audience_num,day_audience_increase_decrease,day_audience_increase_decrease_ratio,total_audience_num,day_screen_num,day_screen_show
2025-01-07,1,1,0,OLD,20228796,하얼빈,2024-12-24,453489880,36.6,-77755120,-14.6,36080853730,48912,-7736,-13.7,3778075,1310,5281
2025-01-07,2,2,0,OLD,20200142,소방관,2024-12-04,153547120,12.4,-7949280,-4.9,33715987470,16456,-966,-5.5,3585844,744,1933
2025-01-07,3,3,0,OLD,20190300,보고타: 마지막 기회의 땅,2024-12-31,98392800,7.9,-25652200,-20.7,3215557360,11022,-2949,-21.1,347370,694,1958
2025-01-07,4,4,0,OLD,20246361,뽀로로 극장판 바닷속 대모험,2025-01-01,56211520,4.5,-3911000,-6.5,1806190590,7157,-98,-1.4,208761,528,843
2025-01-07,5,5,0,OLD,20244167,수퍼 소닉3,2025-01-01,61526140,5.0,6657420,12.1,1959267030,6998,955,15.8,211925,641,1154
2025-01-07,6,6,0,OLD,20245977,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,54108960,4.4,2800340,5.5,6206125100,5884,379,6.9,658950,456,668
2025-01-07,7,7,0,OLD,20240193,무파사: 라이온 킹,2024-12-18,41498280,3.3,-5672840,-12,7569345890,4727,-637,-11.9,767071,475,668
2025-01-07,8,8,1,OLD,20240737,모아나 2,2024-11-27,43483800,3.5,1301160,3.1,31979448450,4726,158,3.5,3463144,421,575
2025-01-07,9,9,-1,OLD,20247693,위키드,2024-11-20,42934800,3.5,-3800830,-8.1,20970074060,4386,-560,-11.3,2128358,341,481
2025-01-07,10,10,0,OLD,20244850,시빌 워: 분열의 시대,2024-12-31,37640800,3.0,-5896300,-13.5,918023130,3576,-858,-19.4,88383,473,697
