voting_date,released_date,title,audience,total_audience
2020-10-28,2020-06-24,#살아있다,289,1903992
2020-08-30,2020-06-24,#살아있다,889,1903703
2020-08-29,2020-06-24,#살아있다,1142,1902814
2020-08-26,2020-06-24,#살아있다,500,1901672
2020-08-23,2020-06-24,#살아있다,1,1901172
2020-08-22,2020-06-24,#살아있다,3,1901171
2020-08-20,2020-06-24,#살아있다,3,1901168
2020-08-18,2020-06-24,#살아있다,3,1901165
2020-08-17,2020-06-24,#살아있다,3,1901162
2020-08-16,2020-06-24,#살아있다,7,1901159
2020-08-15,2020-06-24,#살아있다,3,1901152
2020-08-14,2020-06-24,#살아있다,4,1901149
2020-08-13,2020-06-24,#살아있다,5,1901145
2020-08-12,2020-06-24,#살아있다,1,1901140
2020-08-11,2020-06-24,#살아있다,21,1901139
2020-08-10,2020-06-24,#살아있다,11,1901118
2020-08-09,2020-06-24,#살아있다,14,1901107
2020-08-08,2020-06-24,#살아있다,19,1901093
2020-08-07,2020-06-24,#살아있다,26,1901074
2020-08-06,2020-06-24,#살아있다,16,1901048
2020-08-05,2020-06-24,#살아있다,29,1901032
2020-08-04,2020-06-24,#살아있다,327,1901003
2020-08-03,2020-06-24,#살아있다,345,1900676
2020-08-02,2020-06-24,#살아있다,1441,1900331
2020-08-01,2020-06-24,#살아있다,1515,1898890
2020-07-31,2020-06-24,#살아있다,802,1897375
2020-07-30,2020-06-24,#살아있다,775,1896573
2020-07-29,2020-06-24,#살아있다,1252,1895798
2020-07-28,2020-06-24,#살아있다,3525,1894546
2020-07-27,2020-06-24,#살아있다,3575,1891021
2020-07-26,2020-06-24,#살아있다,8271,1887446
2020-07-25,2020-06-24,#살아있다,8497,1879175
2020-07-24,2020-06-24,#살아있다,4226,1870678
2020-07-23,2020-06-24,#살아있다,2565,1866452
2020-07-22,2020-06-24,#살아있다,3447,1863887
2020-07-21,2020-06-24,#살아있다,4967,1860440
2020-07-20,2020-06-24,#살아있다,4804,1855473
2020-07-19,2020-06-24,#살아있다,9188,1850669
2020-07-18,2020-06-24,#살아있다,8859,1841481
2020-07-17,2020-06-24,#살아있다,5410,1832622
2020-07-16,2020-06-24,#살아있다,4510,1827212
2020-07-15,2020-06-24,#살아있다,4827,1822702
2020-07-14,2020-06-24,#살아있다,15405,1817875
2020-07-13,2020-06-24,#살아있다,19542,1802470
2020-07-12,2020-06-24,#살아있다,53086,1782928
2020-07-11,2020-06-24,#살아있다,57240,1729842
2020-07-10,2020-06-24,#살아있다,26396,1672602
2020-07-09,2020-06-24,#살아있다,20146,1646206
2020-07-08,2020-06-24,#살아있다,23877,1626060
2020-07-07,2020-06-24,#살아있다,25825,1602183
2020-07-06,2020-06-24,#살아있다,29429,1576358
2020-07-05,2020-06-24,#살아있다,93106,1546929
2020-07-04,2020-06-24,#살아있다,110890,1453823
2020-07-03,2020-06-24,#살아있다,51860,1342933
2020-07-02,2020-06-24,#살아있다,44470,1291073
2020-07-01,2020-06-24,#살아있다,51659,1246603
2020-06-30,2020-06-24,#살아있다,67098,1194944
2020-06-29,2020-06-24,#살아있다,67845,1127846
2020-06-28,2020-06-24,#살아있다,256133,1060001
2020-06-27,2020-06-24,#살아있다,294255,803868
2020-06-26,2020-06-24,#살아있다,152550,509613
2020-06-25,2020-06-24,#살아있다,148991,357063
2020-06-24,2020-06-24,#살아있다,204066,208072
2020-06-23,2020-06-24,#살아있다,1239,4006
2020-06-19,2020-06-24,#살아있다,790,2767
2020-06-15,2020-06-24,#살아있다,1386,1977
2020-06-03,2020-06-24,#살아있다,449,591
2020-06-02,2020-06-24,#살아있다,142,142
2023-01-23,2023-01-12,10일간의 애인,104,1914
2023-01-22,2023-01-12,10일간의 애인,101,1810
2023-01-21,2023-01-12,10일간의 애인,101,1709
2023-01-20,2023-01-12,10일간의 애인,104,1608
2023-01-19,2023-01-12,10일간의 애인,100,1504
2023-01-18,2023-01-12,10일간의 애인,105,1404
2023-01-17,2023-01-12,10일간의 애인,105,1299
2023-01-25,2023-01-12,10일간의 애인,100,2118
2023-01-24,2023-01-12,10일간의 애인,104,2018
2023-01-16,2023-01-12,10일간의 애인,101,1194
2023-01-15,2023-01-12,10일간의 애인,108,1093
2023-01-14,2023-01-12,10일간의 애인,81,985
2023-01-13,2023-01-12,10일간의 애인,78,904
2023-01-12,2023-01-12,10일간의 애인,826,826
2021-08-23,2006-08-24,13구역,2,222570
2024-10-14,2024-08-15,1923 간토대학살,3,12711
2024-10-12,2024-08-15,1923 간토대학살,4,12708
2024-10-11,2024-08-15,1923 간토대학살,18,12704
2024-10-10,2024-08-15,1923 간토대학살,1,12686
2024-10-09,2024-08-15,1923 간토대학살,4,12685
2024-10-08,2024-08-15,1923 간토대학살,11,12681
2024-10-07,2024-08-15,1923 간토대학살,8,12670
2024-10-05,2024-08-15,1923 간토대학살,2,12662
2024-10-04,2024-08-15,1923 간토대학살,83,12660
2024-10-02,2024-08-15,1923 간토대학살,5,12577
2024-09-29,2024-08-15,1923 간토대학살,6,12572
2024-09-28,2024-08-15,1923 간토대학살,0,12566
2024-09-26,2024-08-15,1923 간토대학살,66,12566
2024-09-25,2024-08-15,1923 간토대학살,179,12500
2024-09-23,2024-08-15,1923 간토대학살,133,12321
2024-09-22,2024-08-15,1923 간토대학살,4,12188
2024-09-21,2024-08-15,1923 간토대학살,2,12184
2024-09-20,2024-08-15,1923 간토대학살,148,12182
2024-09-19,2024-08-15,1923 간토대학살,5,12034
2024-09-18,2024-08-15,1923 간토대학살,14,12029
2024-09-17,2024-08-15,1923 간토대학살,31,12015
2024-09-16,2024-08-15,1923 간토대학살,28,11984
2024-09-15,2024-08-15,1923 간토대학살,13,11956
2024-09-14,2024-08-15,1923 간토대학살,20,11943
2024-09-13,2024-08-15,1923 간토대학살,52,11923
2024-09-12,2024-08-15,1923 간토대학살,113,11871
2024-09-11,2024-08-15,1923 간토대학살,220,11758
2024-09-10,2024-08-15,1923 간토대학살,36,11538
2024-09-09,2024-08-15,1923 간토대학살,37,11502
2024-09-08,2024-08-15,1923 간토대학살,62,11465
2024-09-07,2024-08-15,1923 간토대학살,58,11403
2024-09-06,2024-08-15,1923 간토대학살,59,11345
2024-09-05,2024-08-15,1923 간토대학살,176,11286
2024-09-04,2024-08-15,1923 간토대학살,73,11110
2024-09-03,2024-08-15,1923 간토대학살,325,11037
2024-09-02,2024-08-15,1923 간토대학살,268,10712
2024-09-01,2024-08-15,1923 간토대학살,2003,10444
2024-08-31,2024-08-15,1923 간토대학살,251,8441
2024-08-30,2024-08-15,1923 간토대학살,209,8190
2024-08-29,2024-08-15,1923 간토대학살,99,7981
2024-08-28,2024-08-15,1923 간토대학살,292,7882
2024-08-27,2024-08-15,1923 간토대학살,254,7590
2024-08-26,2024-08-15,1923 간토대학살,248,7336
2024-08-25,2024-08-15,1923 간토대학살,478,7088
2024-08-24,2024-08-15,1923 간토대학살,588,6610
2024-08-23,2024-08-15,1923 간토대학살,456,6022
2024-08-22,2024-08-15,1923 간토대학살,763,5566
2024-08-21,2024-08-15,1923 간토대학살,323,4803
2024-08-20,2024-08-15,1923 간토대학살,483,4480
2024-08-19,2024-08-15,1923 간토대학살,645,3997
2024-08-18,2024-08-15,1923 간토대학살,888,3352
2024-08-17,2024-08-15,1923 간토대학살,891,2464
2024-08-16,2024-08-15,1923 간토대학살,380,1573
2024-08-15,2024-08-15,1923 간토대학살,641,1193
2024-08-14,2024-08-15,1923 간토대학살,44,552
2024-08-06,2024-08-15,1923 간토대학살,89,508
2024-08-05,2024-08-15,1923 간토대학살,186,419
2024-08-01,2024-08-15,1923 간토대학살,233,233
2024-10-20,2024-08-15,1923 간토대학살,1,12734
2024-10-17,2024-08-15,1923 간토대학살,1,12733
2024-10-16,2024-08-15,1923 간토대학살,10,12732
2024-10-15,2024-08-15,1923 간토대학살,11,12722
2024-12-01,1900-01-01,1923 간토대학살 감독판,1,2
2024-11-25,1900-01-01,1923 간토대학살 감독판,1,1
2024-10-14,2023-09-27,1947 보스톤,323,1028689
2024-09-11,2023-09-27,1947 보스톤,51,1028366
2024-07-27,2023-09-27,1947 보스톤,370,1028315
2024-07-12,2023-09-27,1947 보스톤,80,1027945
2024-06-28,2023-09-27,1947 보스톤,120,1027865
2024-06-27,2023-09-27,1947 보스톤,120,1027745
2024-06-20,2023-09-27,1947 보스톤,80,1027625
2024-11-28,2023-09-27,1947 보스톤,146,1029334
2024-11-27,2023-09-27,1947 보스톤,20,1029188
2024-05-26,2023-09-27,1947 보스톤,250,1027545
2024-05-25,2023-09-27,1947 보스톤,217,1027295
2024-02-29,2023-09-27,1947 보스톤,149,1027078
2024-01-09,2023-09-27,1947 보스톤,51,1026929
2023-12-29,2023-09-27,1947 보스톤,51,1026878
2023-12-22,2023-09-27,1947 보스톤,90,1026827
2023-12-19,2023-09-27,1947 보스톤,190,1026737
2023-12-18,2023-09-27,1947 보스톤,80,1026547
2023-12-17,2023-09-27,1947 보스톤,279,1026467
2023-12-15,2023-09-27,1947 보스톤,213,1026188
2023-12-14,2023-09-27,1947 보스톤,34,1025975
2023-12-13,2023-09-27,1947 보스톤,173,1025941
2023-12-12,2023-09-27,1947 보스톤,89,1025768
2023-12-09,2023-09-27,1947 보스톤,90,1025679
2023-12-08,2023-09-27,1947 보스톤,320,1025589
2023-12-07,2023-09-27,1947 보스톤,190,1025269
2023-12-06,2023-09-27,1947 보스톤,728,1025079
2023-12-05,2023-09-27,1947 보스톤,343,1024351
2023-12-04,2023-09-27,1947 보스톤,7,1024008
2023-12-03,2023-09-27,1947 보스톤,3,1024001
2023-12-02,2023-09-27,1947 보스톤,167,1023998
2023-12-01,2023-09-27,1947 보스톤,476,1023831
2023-11-30,2023-09-27,1947 보스톤,410,1023355
2023-11-29,2023-09-27,1947 보스톤,1054,1022945
2023-11-28,2023-09-27,1947 보스톤,637,1021891
2023-11-27,2023-09-27,1947 보스톤,35,1021254
2023-11-26,2023-09-27,1947 보스톤,6,1021219
2023-11-25,2023-09-27,1947 보스톤,6,1021213
2023-11-24,2023-09-27,1947 보스톤,564,1021207
2023-11-23,2023-09-27,1947 보스톤,873,1020643
2023-11-22,2023-09-27,1947 보스톤,1037,1019770
2023-11-21,2023-09-27,1947 보스톤,431,1018733
2023-11-20,2023-09-27,1947 보스톤,881,1018302
2023-11-19,2023-09-27,1947 보스톤,211,1017421
2023-11-18,2023-09-27,1947 보스톤,221,1017210
2023-11-17,2023-09-27,1947 보스톤,1724,1016989
2023-11-16,2023-09-27,1947 보스톤,610,1015265
2023-11-15,2023-09-27,1947 보스톤,1558,1014655
2023-11-14,2023-09-27,1947 보스톤,677,1013097
2023-11-13,2023-09-27,1947 보스톤,1520,1012420
2023-11-12,2023-09-27,1947 보스톤,944,1010900
2023-11-11,2023-09-27,1947 보스톤,992,1009956
2023-11-10,2023-09-27,1947 보스톤,1627,1008964
2023-11-09,2023-09-27,1947 보스톤,2210,1007337
2023-11-08,2023-09-27,1947 보스톤,2417,1005127
2023-11-07,2023-09-27,1947 보스톤,3501,1002710
2023-11-06,2023-09-27,1947 보스톤,1583,999209
2023-11-05,2023-09-27,1947 보스톤,1643,997626
2023-11-04,2023-09-27,1947 보스톤,1244,995983
2023-11-03,2023-09-27,1947 보스톤,1233,994739
2023-11-02,2023-09-27,1947 보스톤,1267,993506
2023-11-01,2023-09-27,1947 보스톤,962,992239
2023-10-31,2023-09-27,1947 보스톤,2308,991277
2023-10-30,2023-09-27,1947 보스톤,1755,988969
2023-10-29,2023-09-27,1947 보스톤,881,987214
2023-10-28,2023-09-27,1947 보스톤,1284,986333
2023-10-27,2023-09-27,1947 보스톤,4026,985049
2023-10-26,2023-09-27,1947 보스톤,3056,981023
2023-10-25,2023-09-27,1947 보스톤,5058,977967
2023-10-24,2023-09-27,1947 보스톤,4594,972909
2023-10-23,2023-09-27,1947 보스톤,2936,968315
2023-10-22,2023-09-27,1947 보스톤,3842,965379
2023-10-21,2023-09-27,1947 보스톤,4944,961537
2023-10-20,2023-09-27,1947 보스톤,8642,956593
2023-10-19,2023-09-27,1947 보스톤,6075,947951
2023-10-18,2023-09-27,1947 보스톤,7382,941876
2023-10-17,2023-09-27,1947 보스톤,10576,934494
2023-10-16,2023-09-27,1947 보스톤,4931,923918
2023-10-15,2023-09-27,1947 보스톤,10726,918987
2023-10-14,2023-09-27,1947 보스톤,14839,908261
2023-10-13,2023-09-27,1947 보스톤,14293,893422
2023-10-12,2023-09-27,1947 보스톤,9444,879129
2023-10-11,2023-09-27,1947 보스톤,8433,869685
2023-10-10,2023-09-27,1947 보스톤,8322,861252
2023-10-09,2023-09-27,1947 보스톤,23846,852930
2023-10-08,2023-09-27,1947 보스톤,28502,829084
2023-10-07,2023-09-27,1947 보스톤,20947,800582
2023-10-06,2023-09-27,1947 보스톤,18616,779635
2023-10-05,2023-09-27,1947 보스톤,13508,761019
2023-10-04,2023-09-27,1947 보스톤,11975,747511
2023-10-03,2023-09-27,1947 보스톤,61256,735536
2023-10-02,2023-09-27,1947 보스톤,103455,674280
2023-10-01,2023-09-27,1947 보스톤,109428,570825
2023-09-30,2023-09-27,1947 보스톤,151911,461397
2023-09-29,2023-09-27,1947 보스톤,137427,309486
2023-09-28,2023-09-27,1947 보스톤,89204,172059
2023-09-27,2023-09-27,1947 보스톤,60274,82855
2023-09-26,2023-09-27,1947 보스톤,6037,22581
2023-09-25,2023-09-27,1947 보스톤,268,16544
2023-09-23,2023-09-27,1947 보스톤,1696,16276
2023-09-21,2023-09-27,1947 보스톤,486,14580
2023-09-20,2023-09-27,1947 보스톤,311,14094
2023-09-19,2023-09-27,1947 보스톤,3212,13783
2023-09-18,2023-09-27,1947 보스톤,2292,10571
2023-09-15,2023-09-27,1947 보스톤,295,8279
2023-09-14,2023-09-27,1947 보스톤,590,7984
2023-09-13,2023-09-27,1947 보스톤,1078,7394
2023-09-12,2023-09-27,1947 보스톤,2025,6316
2023-09-11,2023-09-27,1947 보스톤,4291,4291
2024-10-18,2023-09-27,1947 보스톤,120,1029168
2024-10-15,2023-09-27,1947 보스톤,359,1029048
2024-12-13,2024-03-27,1980,100,44067
2024-06-24,2024-03-27,1980,1,43967
2024-06-20,2024-03-27,1980,1,43966
2024-06-18,2024-03-27,1980,2,43965
2024-06-17,2024-03-27,1980,3,43963
2024-06-16,2024-03-27,1980,2,43960
2024-06-15,2024-03-27,1980,2,43958
2024-06-14,2024-03-27,1980,3,43956
2024-06-13,2024-03-27,1980,5,43953
2024-06-12,2024-03-27,1980,4,43948
2024-06-11,2024-03-27,1980,2,43944
2024-06-10,2024-03-27,1980,3,43942
2024-06-09,2024-03-27,1980,2,43939
2024-06-08,2024-03-27,1980,4,43937
2024-06-07,2024-03-27,1980,56,43933
2024-06-06,2024-03-27,1980,2,43877
2024-06-05,2024-03-27,1980,162,43875
2024-06-04,2024-03-27,1980,51,43713
2024-06-03,2024-03-27,1980,2,43662
2024-06-02,2024-03-27,1980,2,43660
2024-06-01,2024-03-27,1980,2,43658
2024-05-31,2024-03-27,1980,176,43656
2024-05-30,2024-03-27,1980,1,43480
2024-05-28,2024-03-27,1980,255,43479
