title,genre
#살아있다,드라마
10일간의 애인,멜로/로맨스
13구역,액션
13구역,SF
1923 간토대학살,다큐멘터리
1923 간토대학살 감독판,다큐멘터리
1947 보스톤,드라마
1980,드라마
1984 최동원,다큐멘터리
1987,드라마
"1991, 봄",다큐멘터리
1급기밀,드라마
1번국도,드라마
1승,드라마
"2021 스웨그 에이지 : 외쳐, 조선!",뮤지컬
"2021 스웨그 에이지 : 외쳐, 조선!",공연
2046,드라마
206: 사라지지 않는,다큐멘터리
24 시티,드라마
2차 송환,다큐멘터리
2퍼센트,드라마
3.5교시,미스터리
3.5교시,판타지
3.5교시,멜로/로맨스
30일,코미디
3일의 휴가,판타지
3일의 휴가,드라마
4DX 문유,기타
4등,드라마
4분 44초,공포(호러)
4월 이야기,멜로/로맨스
4월 이야기,드라마
5.18 힌츠페터 스토리,다큐멘터리
500일의 썸머,드라마
500일의 썸머,멜로/로맨스
5시부터 7시까지의 주희,드라마
69세,드라마
6시간 후 너는 죽는다,스릴러
6월의 뱀,미스터리
7년-그들이 없는 언론,다큐멘터리
7번방의 선물,코미디
7번방의 선물,드라마
7월7일,드라마
7월7일,멜로/로맨스
7인의 말괄량이,드라마
82년생 김지영,드라마
8월의 크리스마스,멜로/로맨스
8월의 크리스마스,드라마
8인: 최후의 결사단,액션
8인: 최후의 결사단,사극
8인의 용의자들,드라마
8인의 용의자들,미스터리
8인의 용의자들,범죄
B급 며느리,다큐멘터리
B급 청춘,드라마
B컷,범죄
B컷,액션
B컷,스릴러
CCTV,공포(호러)
CCTV,스릴러
DMZ 동물 특공대,애니메이션
F20,스릴러
K스쿨,드라마
K스쿨,뮤지컬
UFO 스케치,다큐멘터리
犬견 : 버려진 아이들,범죄
犬견 : 버려진 아이들,스릴러
가문의 영광,코미디
가문의 영광: 리턴즈,코미디
가시꽃,드라마
가을의 전설,멜로/로맨스
가치 캅시다,드라마
간신의 피,액션
간이역,드라마
간첩 리철진,코미디
간첩 리철진,드라마
간호중,SF
갇힌 여인,드라마
갈까부다,다큐멘터리
갈까부다,가족
갈까부다,멜로/로맨스
갈매기,드라마
감동주의보,멜로/로맨스
감동주의보,코미디
감쪽같은 그녀,드라마
갓길로 달리는 코뿔소,드라마
강남좀비,드라마
강다니엘: 마이 퍼레이드,공연
강다니엘: 마이 퍼레이드,다큐멘터리
강릉,범죄
강릉,액션
