Date,Movie,Chain,Screenings,day_of_week,Screen_Share
2019-01-01,아쿠아맨,CGV,1920,Tuesday,25.0
2019-01-01,아쿠아맨,롯데시네마,1326,Tuesday,23.1
2019-01-01,아쿠아맨,메가박스,1123,Tuesday,24.0
2019-01-01,아쿠아맨,씨네Q,59,Tuesday,21.9
2019-01-01,PMC: 더 벙커,CGV,1332,Tuesday,17.4
2019-01-01,PMC: 더 벙커,롯데시네마,1064,Tuesday,18.6
2019-01-01,PMC: 더 벙커,메가박스,880,Tuesday,18.8
2019-01-01,PMC: 더 벙커,씨네Q,63,Tuesday,23.3
2019-01-01,범블비,CGV,917,Tuesday,11.9
2019-01-01,범블비,롯데시네마,761,Tuesday,13.3
2019-01-01,범블비,메가박스,641,Tuesday,13.7
2019-01-01,범블비,씨네Q,37,Tuesday,13.7
2019-01-01,보헤미안 랩소디,CGV,749,Tuesday,9.8
2019-01-01,보헤미안 랩소디,롯데시네마,623,Tuesday,10.9
2019-01-01,보헤미안 랩소디,메가박스,442,Tuesday,9.5
2019-01-01,보헤미안 랩소디,씨네Q,19,Tuesday,7.0
2019-01-01,언니,CGV,829,Tuesday,10.8
2019-01-01,언니,롯데시네마,475,Tuesday,8.3
2019-01-01,언니,메가박스,315,Tuesday,6.7
2019-01-01,언니,씨네Q,17,Tuesday,6.3
2019-01-02,아쿠아맨,CGV,1824,Wednesday,25.1
2019-01-02,아쿠아맨,롯데시네마,1241,Wednesday,23.1
2019-01-02,아쿠아맨,메가박스,1074,Wednesday,24.0
2019-01-02,아쿠아맨,씨네Q,62,Wednesday,25.0
2019-01-02,PMC: 더 벙커,CGV,1252,Wednesday,17.3
2019-01-02,PMC: 더 벙커,롯데시네마,982,Wednesday,18.3
2019-01-02,PMC: 더 벙커,메가박스,844,Wednesday,18.8
2019-01-02,PMC: 더 벙커,씨네Q,51,Wednesday,20.6
2019-01-02,범블비,CGV,883,Wednesday,12.2
2019-01-02,범블비,롯데시네마,730,Wednesday,13.6
2019-01-02,범블비,메가박스,611,Wednesday,13.6
2019-01-02,범블비,씨네Q,37,Wednesday,14.9
2019-01-02,보헤미안 랩소디,CGV,725,Wednesday,10.0
2019-01-02,보헤미안 랩소디,롯데시네마,606,Wednesday,11.3
2019-01-02,보헤미안 랩소디,메가박스,447,Wednesday,10.0
2019-01-02,보헤미안 랩소디,씨네Q,20,Wednesday,8.1
2019-01-02,언니,CGV,800,Wednesday,11.0
2019-01-02,언니,롯데시네마,502,Wednesday,9.3
2019-01-02,언니,메가박스,330,Wednesday,7.4
2019-01-02,언니,씨네Q,18,Wednesday,7.3
2019-01-03,아쿠아맨,CGV,1618,Thursday,22.3
2019-01-03,아쿠아맨,롯데시네마,1090,Thursday,20.3
2019-01-03,아쿠아맨,메가박스,943,Thursday,20.9
2019-01-03,아쿠아맨,씨네Q,51,Thursday,20.6
2019-01-03,주먹왕 랄프 2: 인터넷 속으로,CGV,1306,Thursday,18.0
2019-01-03,주먹왕 랄프 2: 인터넷 속으로,롯데시네마,954,Thursday,17.8
2019-01-03,주먹왕 랄프 2: 인터넷 속으로,메가박스,831,Thursday,18.4
2019-01-03,주먹왕 랄프 2: 인터넷 속으로,씨네Q,52,Thursday,21.0
2019-01-03,PMC: 더 벙커,CGV,1043,Thursday,14.4
2019-01-03,PMC: 더 벙커,롯데시네마,776,Thursday,14.5
2019-01-03,PMC: 더 벙커,메가박스,658,Thursday,14.6
2019-01-03,PMC: 더 벙커,씨네Q,43,Thursday,17.3
2019-01-03,범블비,CGV,647,Thursday,8.9
2019-01-03,범블비,롯데시네마,640,Thursday,11.9
2019-01-03,범블비,메가박스,498,Thursday,11.0
2019-01-03,범블비,씨네Q,24,Thursday,9.7
2019-01-03,보헤미안 랩소디,CGV,682,Thursday,9.4
2019-01-03,보헤미안 랩소디,롯데시네마,570,Thursday,10.6
2019-01-03,보헤미안 랩소디,메가박스,405,Thursday,9.0
2019-01-03,보헤미안 랩소디,씨네Q,21,Thursday,8.5
2019-01-04,아쿠아맨,CGV,1665,Friday,22.7
2019-01-04,아쿠아맨,롯데시네마,1104,Friday,20.0
2019-01-04,아쿠아맨,메가박스,969,Friday,21.2
2019-01-04,아쿠아맨,씨네Q,53,Friday,20.5
2019-01-04,주먹왕 랄프 2: 인터넷 속으로,CGV,1403,Friday,19.1
2019-01-04,주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1210,Friday,21.9
2019-01-04,주먹왕 랄프 2: 인터넷 속으로,메가박스,905,Friday,19.8
2019-01-04,주먹왕 랄프 2: 인터넷 속으로,씨네Q,53,Friday,20.5
2019-01-04,PMC: 더 벙커,CGV,1001,Friday,13.6
2019-01-04,PMC: 더 벙커,롯데시네마,716,Friday,13.0
2019-01-04,PMC: 더 벙커,메가박스,666,Friday,14.6
2019-01-04,PMC: 더 벙커,씨네Q,42,Friday,16.3
2019-01-04,범블비,CGV,660,Friday,9.0
2019-01-04,범블비,롯데시네마,606,Friday,11.0
2019-01-04,범블비,메가박스,496,Friday,10.9
2019-01-04,범블비,씨네Q,26,Friday,10.1
2019-01-04,보헤미안 랩소디,CGV,734,Friday,10.0
2019-01-04,보헤미안 랩소디,롯데시네마,612,Friday,11.1
2019-01-04,보헤미안 랩소디,메가박스,421,Friday,9.2
2019-01-04,보헤미안 랩소디,씨네Q,22,Friday,8.5
2019-01-05,주먹왕 랄프 2: 인터넷 속으로,CGV,1727,Saturday,22.8
2019-01-05,주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1710,Saturday,29.9
2019-01-05,주먹왕 랄프 2: 인터넷 속으로,메가박스,1061,Saturday,22.4
2019-01-05,주먹왕 랄프 2: 인터넷 속으로,씨네Q,58,Saturday,21.5
2019-01-05,아쿠아맨,CGV,1648,Saturday,21.8
2019-01-05,아쿠아맨,롯데시네마,1139,Saturday,19.9
2019-01-05,아쿠아맨,메가박스,985,Saturday,20.8
2019-01-05,아쿠아맨,씨네Q,57,Saturday,21.1
2019-01-05,PMC: 더 벙커,CGV,900,Saturday,11.9
2019-01-05,PMC: 더 벙커,롯데시네마,555,Saturday,9.7
2019-01-05,PMC: 더 벙커,메가박스,578,Saturday,12.2
2019-01-05,PMC: 더 벙커,씨네Q,44,Saturday,16.3
2019-01-05,보헤미안 랩소디,CGV,719,Saturday,9.5
2019-01-05,보헤미안 랩소디,롯데시네마,620,Saturday,10.8
2019-01-05,보헤미안 랩소디,메가박스,428,Saturday,9.1
2019-01-05,보헤미안 랩소디,씨네Q,21,Saturday,7.8
2019-01-05,범블비,CGV,569,Saturday,7.5
2019-01-05,범블비,롯데시네마,500,Saturday,8.7
