Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 01일(Tue),아쿠아맨,CGV,1920,25.0%
2019년 01월 01일(Tue),아쿠아맨,롯데시네마,1326,23.1%
2019년 01월 01일(Tue),아쿠아맨,메가박스,1123,24.0%
2019년 01월 01일(Tue),아쿠아맨,씨네Q,59,21.9%
2019년 01월 01일(Tue),PMC: 더 벙커,CGV,1332,17.4%
2019년 01월 01일(Tue),PMC: 더 벙커,롯데시네마,1064,18.6%
2019년 01월 01일(Tue),PMC: 더 벙커,메가박스,880,18.8%
2019년 01월 01일(Tue),PMC: 더 벙커,씨네Q,63,23.3%
2019년 01월 01일(Tue),범블비,CGV,917,11.9%
2019년 01월 01일(Tue),범블비,롯데시네마,761,13.3%
2019년 01월 01일(Tue),범블비,메가박스,641,13.7%
2019년 01월 01일(Tue),범블비,씨네Q,37,13.7%
2019년 01월 01일(Tue),보헤미안 랩소디,CGV,749,9.8%
2019년 01월 01일(Tue),보헤미안 랩소디,롯데시네마,623,10.9%
2019년 01월 01일(Tue),보헤미안 랩소디,메가박스,442,9.5%
2019년 01월 01일(Tue),보헤미안 랩소디,씨네Q,19,7.0%
2019년 01월 01일(Tue),언니,CGV,829,10.8%
2019년 01월 01일(Tue),언니,롯데시네마,475,8.3%
2019년 01월 01일(Tue),언니,메가박스,315,6.7%
2019년 01월 01일(Tue),언니,씨네Q,17,6.3%
2019년 01월 02일(Wed),아쿠아맨,CGV,1824,25.1%
2019년 01월 02일(Wed),아쿠아맨,롯데시네마,1241,23.1%
2019년 01월 02일(Wed),아쿠아맨,메가박스,1074,24.0%
2019년 01월 02일(Wed),아쿠아맨,씨네Q,62,25.0%
2019년 01월 02일(Wed),PMC: 더 벙커,CGV,1252,17.3%
2019년 01월 02일(Wed),PMC: 더 벙커,롯데시네마,982,18.3%
2019년 01월 02일(Wed),PMC: 더 벙커,메가박스,844,18.8%
2019년 01월 02일(Wed),PMC: 더 벙커,씨네Q,51,20.6%
2019년 01월 02일(Wed),범블비,CGV,883,12.2%
2019년 01월 02일(Wed),범블비,롯데시네마,730,13.6%
2019년 01월 02일(Wed),범블비,메가박스,611,13.6%
2019년 01월 02일(Wed),범블비,씨네Q,37,14.9%
2019년 01월 02일(Wed),보헤미안 랩소디,CGV,725,10.0%
2019년 01월 02일(Wed),보헤미안 랩소디,롯데시네마,606,11.3%
2019년 01월 02일(Wed),보헤미안 랩소디,메가박스,447,10.0%
2019년 01월 02일(Wed),보헤미안 랩소디,씨네Q,20,8.1%
2019년 01월 02일(Wed),언니,CGV,800,11.0%
2019년 01월 02일(Wed),언니,롯데시네마,502,9.3%
2019년 01월 02일(Wed),언니,메가박스,330,7.4%
2019년 01월 02일(Wed),언니,씨네Q,18,7.3%
2019년 01월 03일(Thu),아쿠아맨,CGV,1618,22.3%
2019년 01월 03일(Thu),아쿠아맨,롯데시네마,1090,20.3%
2019년 01월 03일(Thu),아쿠아맨,메가박스,943,20.9%
2019년 01월 03일(Thu),아쿠아맨,씨네Q,51,20.6%
2019년 01월 03일(Thu),주먹왕 랄프 2: 인터넷 속으로,CGV,1306,18.0%
2019년 01월 03일(Thu),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,954,17.8%
2019년 01월 03일(Thu),주먹왕 랄프 2: 인터넷 속으로,메가박스,831,18.4%
2019년 01월 03일(Thu),주먹왕 랄프 2: 인터넷 속으로,씨네Q,52,21.0%
2019년 01월 03일(Thu),PMC: 더 벙커,CGV,1043,14.4%
2019년 01월 03일(Thu),PMC: 더 벙커,롯데시네마,776,14.5%
2019년 01월 03일(Thu),PMC: 더 벙커,메가박스,658,14.6%
2019년 01월 03일(Thu),PMC: 더 벙커,씨네Q,43,17.3%
2019년 01월 03일(Thu),범블비,CGV,647,8.9%
2019년 01월 03일(Thu),범블비,롯데시네마,640,11.9%
2019년 01월 03일(Thu),범블비,메가박스,498,11.0%
2019년 01월 03일(Thu),범블비,씨네Q,24,9.7%
2019년 01월 03일(Thu),보헤미안 랩소디,CGV,682,9.4%
2019년 01월 03일(Thu),보헤미안 랩소디,롯데시네마,570,10.6%
2019년 01월 03일(Thu),보헤미안 랩소디,메가박스,405,9.0%
2019년 01월 03일(Thu),보헤미안 랩소디,씨네Q,21,8.5%
2019년 01월 04일(Fri),아쿠아맨,CGV,1665,22.7%
2019년 01월 04일(Fri),아쿠아맨,롯데시네마,1104,20.0%
2019년 01월 04일(Fri),아쿠아맨,메가박스,969,21.2%
2019년 01월 04일(Fri),아쿠아맨,씨네Q,53,20.5%
2019년 01월 04일(Fri),주먹왕 랄프 2: 인터넷 속으로,CGV,1403,19.1%
2019년 01월 04일(Fri),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1210,21.9%
2019년 01월 04일(Fri),주먹왕 랄프 2: 인터넷 속으로,메가박스,905,19.8%
2019년 01월 04일(Fri),주먹왕 랄프 2: 인터넷 속으로,씨네Q,53,20.5%
2019년 01월 04일(Fri),PMC: 더 벙커,CGV,1001,13.6%
2019년 01월 04일(Fri),PMC: 더 벙커,롯데시네마,716,13.0%
2019년 01월 04일(Fri),PMC: 더 벙커,메가박스,666,14.6%
2019년 01월 04일(Fri),PMC: 더 벙커,씨네Q,42,16.3%
2019년 01월 04일(Fri),범블비,CGV,660,9.0%
2019년 01월 04일(Fri),범블비,롯데시네마,606,11.0%
2019년 01월 04일(Fri),범블비,메가박스,496,10.9%
2019년 01월 04일(Fri),범블비,씨네Q,26,10.1%
2019년 01월 04일(Fri),보헤미안 랩소디,CGV,734,10.0%
2019년 01월 04일(Fri),보헤미안 랩소디,롯데시네마,612,11.1%
2019년 01월 04일(Fri),보헤미안 랩소디,메가박스,421,9.2%
2019년 01월 04일(Fri),보헤미안 랩소디,씨네Q,22,8.5%
2019년 01월 05일(Sat),주먹왕 랄프 2: 인터넷 속으로,CGV,1727,22.8%
2019년 01월 05일(Sat),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,1710,29.9%
2019년 01월 05일(Sat),주먹왕 랄프 2: 인터넷 속으로,메가박스,1061,22.4%
2019년 01월 05일(Sat),주먹왕 랄프 2: 인터넷 속으로,씨네Q,58,21.5%
2019년 01월 05일(Sat),아쿠아맨,CGV,1648,21.8%
2019년 01월 05일(Sat),아쿠아맨,롯데시네마,1139,19.9%
2019년 01월 05일(Sat),아쿠아맨,메가박스,985,20.8%
2019년 01월 05일(Sat),아쿠아맨,씨네Q,57,21.1%
2019년 01월 05일(Sat),PMC: 더 벙커,CGV,900,11.9%
2019년 01월 05일(Sat),PMC: 더 벙커,롯데시네마,555,9.7%
2019년 01월 05일(Sat),PMC: 더 벙커,메가박스,578,12.2%
2019년 01월 05일(Sat),PMC: 더 벙커,씨네Q,44,16.3%
2019년 01월 05일(Sat),보헤미안 랩소디,CGV,719,9.5%
2019년 01월 05일(Sat),보헤미안 랩소디,롯데시네마,620,10.8%
2019년 01월 05일(Sat),보헤미안 랩소디,메가박스,428,9.1%
2019년 01월 05일(Sat),보헤미안 랩소디,씨네Q,21,7.8%
2019년 01월 05일(Sat),범블비,CGV,569,7.5%
2019년 01월 05일(Sat),범블비,롯데시네마,500,8.7%
