voting_date,rank_num,ranking,day_increase_decrease,new_entry,code,title,released_date,day_sales,day_sales_ratio,day_sales_increase_decrease,day_sales_increase_decrease_ratio,total_sales,day_audience_num,day_audience_increase_decrease,day_audience_increase_decrease_ratio,total_audience_num,day_screen_num,day_screen_show
2025-01-08,1,1,0,OLD,20228796,하얼빈,2024-12-24,450021500,31.5,-5157380,-1.1,36537167230,48571,-592,-1.2,3827583,1140,4371
2025-01-08,2,2,0,NEW,20248082,동화지만 청불입니다,2025-01-08,178202680,12.5,178202680,100,191418680,20412,20412,100,21853,645,2121
2025-01-08,3,3,-1,OLD,20200142,소방관,2024-12-04,132918500,9.3,-20628620,-13.4,33848836970,14277,-2179,-13.2,3600116,658,1502
2025-01-08,4,4,0,NEW,20248447,페라리,2025-01-08,94027400,6.6,94027400,100,100759000,10489,10489,100,11097,562,1313
2025-01-08,5,5,-2,OLD,20190300,보고타: 마지막 기회의 땅,2024-12-31,72624900,5.1,-26780900,-26.9,3291000260,8410,-2768,-24.8,356204,623,1120
2025-01-08,6,6,-2,OLD,20246361,뽀로로 극장판 바닷속 대모험,2025-01-01,50676300,3.6,-6105220,-10.8,1858025890,6424,-824,-11.4,215369,506,784
2025-01-08,7,7,0,NEW,20246266,데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,43130100,3.0,43130100,100,57088900,5620,5620,100,7025,375,663
2025-01-08,8,8,-3,OLD,20244167,수퍼 소닉3,2025-01-01,46123840,3.2,-15796300,-25.5,2006187870,5390,-1672,-23.7,217444,501,736
2025-01-08,9,9,-3,OLD,20245977,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,45166800,3.2,-8942160,-16.5,6251291900,4955,-929,-15.8,663905,372,477
2025-01-08,10,10,2,OLD,20000067,러브레터,1999-11-20,39798440,2.8,15661080,64.9,1634281287,4598,1905,70.7,192218,158,294
